City,Latitude,Longitude,Population,Land Area,Water Area
"Austin, TX, the US",30.266666,-97.73333,964177,319.94,6.57
"Dallas, TX, the US",32.779167,-96.808891,1304379,339.604,43.87
"Redwood City, CA, USA",37.487846,-122.236115,84292,19.34,15.41
"Gastonia, NC, the USA",35.25528,-81.180275,80411,51.99,0.23
"New Braunfels, TX, the USA",29.700001,-98.116669,90403,45.18,0.39
"Palm Beach Gardens, FL,  USA",26.838619,-80.129967,59182,58.71,0.62
"Forestville, CA, USA",38.473625,-122.889992,3293,5.257,0
"Houston, TX, USA",29.749907,-95.358421,2304580,640.44,31.23
"Muncie, IN, USA",40.191891,-85.401695,65194,27.40,
"Palm Springs, CA, USA",33.830517,-116.545601,44575,94.54,0.14
